																						
	Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	A56AF	BASUSDA_45	CV1	CV8	Cv1	DSM26508	SAM215	UFO-VIO
	group_1081	araC	AraC family transcriptional regulator	8	8	1	301	6508				965	965	965	PAGBNG_00785	EADAOE_01736	MJAKFC_00353	PIBFPJ_03786	MDFDNN_00014	BLLDNB_00852	KCCMJC_02362	HCOCDN_00040
	group_1082	lysM	LysM domain-containing protein	8	8	1	301	6520				770	1532	1436	PAGBNG_00793	EADAOE_01747	MJAKFC_00339	PIBFPJ_02490	MDFDNN_04277	BLLDNB_00836	KCCMJC_03585	HCOCDN_00024
	Patatin		Patatin	8	8	1	301	6523				1139	1139	1139	PAGBNG_00796	EADAOE_01750	MJAKFC_00336	PIBFPJ_02487	MDFDNN_04274	BLLDNB_02078	KCCMJC_03582	HCOCDN_00021
	DNA-3-methyladenine glycosylase II		DNA-3-methyladenine glycosylase II	8	8	1	301	6524				548	893	849	PAGBNG_00797	EADAOE_01751	MJAKFC_00335	PIBFPJ_02486	MDFDNN_04273	BLLDNB_02077	KCCMJC_03581	HCOCDN_00020
	group_1085	Alpha/beta hydrolase	Alpha/beta hydrolase	8	8	1	301	6529				467	959	897	PAGBNG_00802	EADAOE_01756	MJAKFC_00330	PIBFPJ_02481	MDFDNN_05246	BLLDNB_01780	KCCMJC_03576	HCOCDN_00015
	aruF		arginine/ornithine succinyltransferase subunit alpha	8	8	1	301	1494				452	1019	948	PAGBNG_00824	EADAOE_00523	MJAKFC_01878	PIBFPJ_02305	MDFDNN_01490	BLLDNB_02901	KCCMJC_03095	HCOCDN_03879
	astA		arginine N-succinyltransferase	8	8	1	301	1493				563	1043	983	PAGBNG_00825	EADAOE_00524	MJAKFC_01877	PIBFPJ_02306	MDFDNN_01489	BLLDNB_02900	KCCMJC_03094	HCOCDN_03880
	livH		Branched-chain amino acid ABC transporter permease	8	8	1	301	1489				605	929	888	PAGBNG_00828	EADAOE_00527	MJAKFC_01874	PIBFPJ_02309	MDFDNN_01484	BLLDNB_02897	KCCMJC_03091	HCOCDN_03883
	Alkaline phosphatase		Alkaline phosphatase	8	8	1	301	1478				893	1460	1388	PAGBNG_00839	EADAOE_00538	MJAKFC_01863	PIBFPJ_02320	MDFDNN_01476	BLLDNB_02886	KCCMJC_03080	HCOCDN_03894
	DeoR/GlpR transcriptional regulator		DeoR/GlpR transcriptional regulator	8	8	1	301	1467				416	785	738	PAGBNG_00845	EADAOE_00544	MJAKFC_01857	PIBFPJ_02326	MDFDNN_01467	BLLDNB_02880	KCCMJC_03075	HCOCDN_03900
	hcaE		Benzene 1,2-dioxygenase subunit alpha	8	8	1	301	1462				848	1109	1076	PAGBNG_00850	EADAOE_00549	MJAKFC_01852	PIBFPJ_02331	MDFDNN_01462	BLLDNB_02875	KCCMJC_03070	HCOCDN_03905
	tex		30S ribosomal protein S1	8	8	1	301	1457				2174	2309	2292	PAGBNG_00854	EADAOE_00553	MJAKFC_01848	PIBFPJ_02335	MDFDNN_01457	BLLDNB_02871	KCCMJC_03066	HCOCDN_03909
	nuoH		NADH-quinone oxidoreductase subunit NuoH	8	8	1	301	5831				500	1046	977	PAGBNG_00888	EADAOE_00091	MJAKFC_03439	PIBFPJ_01937	MDFDNN_02023	BLLDNB_02653	KCCMJC_01475	HCOCDN_03288
	lpxP		lipid A biosynthesis lauroyl acyltransferase	8	8	1	301	2209				638	866	837	PAGBNG_00898	EADAOE_00101	MJAKFC_00902	PIBFPJ_01947	MDFDNN_02009	BLLDNB_02663	KCCMJC_01465	HCOCDN_03298
	ubiB		ubiquinone biosynthesis regulatory protein kinase UbiB	8	8	1	301	2240				1010	1526	1461	PAGBNG_00928	EADAOE_00131	MJAKFC_00872	PIBFPJ_01978	MDFDNN_01976	BLLDNB_02089	KCCMJC_01436	HCOCDN_03328
	4-hydroxybenzoate transporter		4-hydroxybenzoate transporter	8	8	1	301	2242				1313	1313	1313	PAGBNG_00930	EADAOE_00133	MJAKFC_00870	PIBFPJ_01980	MDFDNN_01970	BLLDNB_02091	KCCMJC_01434	HCOCDN_03330
	Cation-efflux pump		Cation-efflux pump	8	8	1	301	2257				944	1001	980	PAGBNG_00944	EADAOE_00147	MJAKFC_00856	PIBFPJ_01994	MDFDNN_01956	BLLDNB_02105	KCCMJC_01420	HCOCDN_03344
	group_1113	flhA	flagellar biosynthesis protein FlhA	8	8	1	301	2282				566	2081	1891	PAGBNG_00977	EADAOE_00181	MJAKFC_00826	PIBFPJ_02027	MDFDNN_01928	BLLDNB_02143	KCCMJC_03508	HCOCDN_03377
	Dihydrofolate reductase		Dihydrofolate reductase	8	8	1	301	2286				476	497	494	PAGBNG_00980	EADAOE_00184	MJAKFC_00823	PIBFPJ_02030	MDFDNN_01924	BLLDNB_02146	KCCMJC_03505	HCOCDN_03380
	Metallophosphoesterase		Metallophosphoesterase	8	8	1	301	2289				749	1187	1132	PAGBNG_00983	EADAOE_00187	MJAKFC_00820	PIBFPJ_02033	MDFDNN_01922	BLLDNB_02149	KCCMJC_03502	HCOCDN_03383
	eAL		Cyclic di-GMP phosphodiesterase Gmr	8	8	1	301	2293				2225	2813	2677	PAGBNG_00987	EADAOE_00191	MJAKFC_00816	PIBFPJ_02037	MDFDNN_01918	BLLDNB_02153	KCCMJC_03498	HCOCDN_03387
	group_1122	fimbrial protein	Fimbrial-type adhesion domain-containing protein	8	8	1	301	3358				416	1016	938	PAGBNG_01017	EADAOE_00367	MJAKFC_02675	PIBFPJ_02150	MDFDNN_01714	BLLDNB_00017	KCCMJC_03768	HCOCDN_01599
	Metal-dependent carboxypeptidase		Metal-dependent carboxypeptidase	8	8	1	301	3342				1262	1487	1458	PAGBNG_01026	EADAOE_00358	MJAKFC_02684	PIBFPJ_02141	MDFDNN_01723	BLLDNB_03107	KCCMJC_02890	HCOCDN_01608
	group_1124	N-acetyltransferase domain-containing protein	N-acetyltransferase domain-containing protein	8	8	1	301	3339				224	542	502	PAGBNG_01029	EADAOE_00355	MJAKFC_02687	PIBFPJ_02138	MDFDNN_01726	BLLDNB_03110	KCCMJC_02887	HCOCDN_01611
	ppx		exopolyphosphatase	8	8	1	301	3315				524	1601	1466	PAGBNG_01052	EADAOE_00333	MJAKFC_02709	PIBFPJ_02114	MDFDNN_01752	BLLDNB_02009	KCCMJC_02865	HCOCDN_01633
	group_1128	marR	MarR family transcriptional regulator	8	8	1	301	3254				908	908	908	PAGBNG_01104	EADAOE_02112	MJAKFC_01530	PIBFPJ_00348	MDFDNN_03807	BLLDNB_01675	KCCMJC_01676	HCOCDN_01682
	trmJ		tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ	8	8	1	301	3245				761	866	813	PAGBNG_01113	EADAOE_02121	MJAKFC_01521	PIBFPJ_00357	MDFDNN_04105	BLLDNB_01666	KCCMJC_01667	HCOCDN_01691
	oLE1		Aminotransferase	8	8	1	301	3239				758	1181	1128	PAGBNG_01119	EADAOE_02127	MJAKFC_01515	PIBFPJ_00363	MDFDNN_04099	BLLDNB_01660	KCCMJC_01661	HCOCDN_01697
	mutS		DNA mismatch repair protein MutS	8	8	1	301	3211				2351	2594	2523	PAGBNG_01142	EADAOE_02212	MJAKFC_01493	PIBFPJ_00385	MDFDNN_03711	BLLDNB_01637	KCCMJC_01638	HCOCDN_01719
	group_1135	GNAT family N-acetyltransferase	GNAT family N-acetyltransferase	8	8	1	301	3202				479	542	534	PAGBNG_01146	EADAOE_02216	MJAKFC_01489	PIBFPJ_00389	MDFDNN_03705	BLLDNB_01633	KCCMJC_01634	HCOCDN_01723
	surE		5'/3'-nucleotidase SurE	8	8	1	301	3189				383	743	698	PAGBNG_01158	EADAOE_02228	MJAKFC_01477	PIBFPJ_00401	MDFDNN_03688	BLLDNB_01845	KCCMJC_01622	HCOCDN_01735
	deoA		thymidine phosphorylase	8	8	1	301	3168				128	1325	1175	PAGBNG_01179	EADAOE_02249	MJAKFC_01456	PIBFPJ_00422	MDFDNN_03667	BLLDNB_01824	KCCMJC_03812	HCOCDN_01756
	treC		alpha,alpha-phosphotrehalase	8	8	1	301	6881				701	1649	1530	PAGBNG_02557	EADAOE_01817	MJAKFC_01221	PIBFPJ_02580	MDFDNN_04202	BLLDNB_01220	KCCMJC_00149	HCOCDN_01363
	dctA		C4-dicarboxylate transport protein	8	8	1	301	3159				1274	1316	1310	PAGBNG_01185	EADAOE_02255	MJAKFC_01061	PIBFPJ_00429	MDFDNN_03657	BLLDNB_01818	KCCMJC_02046	HCOCDN_01762
	CREA signal peptide protein		CREA signal peptide protein	8	8	1	301	3150				326	470	449	PAGBNG_01193	EADAOE_02263	MJAKFC_01053	PIBFPJ_00437	MDFDNN_03650	BLLDNB_01810	KCCMJC_02038	HCOCDN_01770
	lolD		ABC transporter	8	8	1	301	3133				410	716	672	PAGBNG_01210	EADAOE_02280	MJAKFC_01036	PIBFPJ_00454	MDFDNN_03632	BLLDNB_01342	KCCMJC_02021	HCOCDN_01787
	group_1144	DUF883 domain-containing protein	DUF883 domain-containing protein	8	8	1	301	1825				293	293	293	PAGBNG_01248	EADAOE_02366	MJAKFC_00998	PIBFPJ_00492	MDFDNN_03595	BLLDNB_01381	KCCMJC_00972	HCOCDN_01855
	Glycerate dehydrogenase		Glycerate dehydrogenase	8	8	1	301	1840				521	950	896	PAGBNG_01263	EADAOE_02381	MJAKFC_00983	PIBFPJ_00507	MDFDNN_03579	BLLDNB_01396	KCCMJC_00957	HCOCDN_01870
	Type II secretion system protein N		Type II secretion system protein N	8	8	1	301	1855				749	749	749	PAGBNG_01278	EADAOE_02396	MJAKFC_00968	PIBFPJ_00522	MDFDNN_03564	BLLDNB_01411	KCCMJC_00942	HCOCDN_01885
	caiA		Acyl-CoA dehydrogenase, short-chain specific	8	8	1	301	1868				869	1781	1667	PAGBNG_01290	EADAOE_02408	MJAKFC_00956	PIBFPJ_00534	MDFDNN_03551	BLLDNB_01423	KCCMJC_00930	HCOCDN_01897
	Prepilin leader peptidase/N-methyltransferase		Prepilin leader peptidase/N-methyltransferase	8	8	1	301	1878				188	920	828	PAGBNG_01300	EADAOE_02418	MJAKFC_00946	PIBFPJ_00544	MDFDNN_03541	BLLDNB_01433	KCCMJC_00920	HCOCDN_01907
	fdnG		formate dehydrogenase-N subunit alpha	8	8	1	301	1892				2720	3056	3014	PAGBNG_01311	EADAOE_02429	MJAKFC_00935	PIBFPJ_00555	MDFDNN_03528	BLLDNB_02052	KCCMJC_00909	HCOCDN_01918
	fdhE		Formate dehydrogenase accessory protein FdhE	8	8	1	301	1895				881	881	881	PAGBNG_01314	EADAOE_02432	MJAKFC_00932	PIBFPJ_00558	MDFDNN_03525	BLLDNB_02049	KCCMJC_00906	HCOCDN_01921
	group_1153	Flagellin	Flagellin	8	8	1	301	1773				848	848	848	PAGBNG_01333	EADAOE_02451	MJAKFC_02081	PIBFPJ_00629	MDFDNN_03466	BLLDNB_02020	KCCMJC_02733	HCOCDN_01940
	rfbH		lipopolysaccharide biosynthesis protein RfbH	8	8	1	301	1750				1313	1343	1320	PAGBNG_01347	EADAOE_02465	MJAKFC_02095	PIBFPJ_00643	MDFDNN_03452	BLLDNB_03435	KCCMJC_02719	HCOCDN_01955
	S-methyl-5'-thioinosine phosphorylase		S-methyl-5'-thioinosine phosphorylase	8	8	1	301	1747				728	860	785	PAGBNG_01350	EADAOE_02468	MJAKFC_02098	PIBFPJ_00646	MDFDNN_03449	BLLDNB_03438	KCCMJC_02716	HCOCDN_01958
	DUF3592 domain-containing protein		DUF3592 domain-containing protein	8	8	1	301	1727				452	470	458	PAGBNG_01368	EADAOE_02486	MJAKFC_02120	PIBFPJ_00667	MDFDNN_03426	BLLDNB_03456	KCCMJC_03588	HCOCDN_01976
	CoA transferase		CoA transferase	8	8	1	301	1993				800	1190	1141	PAGBNG_01381	EADAOE_02492	MJAKFC_02126	PIBFPJ_00673	MDFDNN_03415	BLLDNB_03465	KCCMJC_03594	HCOCDN_01982
	group_1162	SPOR domain-containing protein	SPOR domain-containing protein	8	8	1	301	3576				839	839	839	PAGBNG_01438	EADAOE_02026	MJAKFC_03392	PIBFPJ_00165	MDFDNN_03957	BLLDNB_00062	KCCMJC_03516	HCOCDN_03696
	hflX		ribosome rescue GTPase HflX	8	8	1	301	3555				779	1130	1086	PAGBNG_01449	EADAOE_02015	MJAKFC_03403	PIBFPJ_00154	MDFDNN_03968	BLLDNB_00051	KCCMJC_03527	HCOCDN_03707
	ampC		class C beta-lactamase	8	8	1	301	1107				1040	1172	1154	PAGBNG_01477	EADAOE_00443	MJAKFC_03308	PIBFPJ_02177	MDFDNN_01679	BLLDNB_03043	KCCMJC_03827	HCOCDN_03736
	mutL		DNA mismatch repair endonuclease MutL	8	8	1	301	1086				1139	1934	1816	PAGBNG_01494	EADAOE_00460	MJAKFC_02650	PIBFPJ_02194	MDFDNN_01658	BLLDNB_03024	KCCMJC_03298	HCOCDN_03753
	thrS		threonine--tRNA ligase	8	8	1	301	1080				929	1901	1779	PAGBNG_01501	EADAOE_00467	MJAKFC_02643	PIBFPJ_02201	MDFDNN_01650	BLLDNB_03017	KCCMJC_03291	HCOCDN_03760
	DUF1289 domain-containing protein		DUF1289 domain-containing protein	8	8	1	301	1071				260	374	331	PAGBNG_01510	EADAOE_00476	MJAKFC_02634	PIBFPJ_02210	MDFDNN_01639	BLLDNB_03008	KCCMJC_03282	HCOCDN_03769
	serS		serine--tRNA ligase	8	8	1	301	1049				773	1283	1219	PAGBNG_01528	EADAOE_00494	MJAKFC_02616	PIBFPJ_02229	MDFDNN_01614	BLLDNB_02988	KCCMJC_02320	HCOCDN_03787
	Haloacid dehalogenase		Haloacid dehalogenase	8	8	1	301	1040				272	665	615	PAGBNG_01536	EADAOE_00499	MJAKFC_03193	PIBFPJ_02242	MDFDNN_01598	BLLDNB_02975	KCCMJC_02333	HCOCDN_03792
