																					
	query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
	HCOCDN_00369	1116472.MGMO_29c00100	1.1e-09	67.8	2DDJG@1|root,2ZIB2@2|Bacteria,1P93U@1224|Proteobacteria,1SV4V@1236|Gammaproteobacteria,1XGXN@135618|Methylococcales	1116472.MGMO_29c00100|-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00383	243365.CV_2820	4.11e-40	133.0	2FEAC@1|root,346A2@2|Bacteria,1P1XN@1224|Proteobacteria,2W4Y2@28216|Betaproteobacteria,2KTDG@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sigma70_r4_2
	HCOCDN_00412	243365.CV_2783	6.48e-16	71.2	2DRZ5@1|root,33DSA@2|Bacteria,1NQ2C@1224|Proteobacteria,2VY2V@28216|Betaproteobacteria,2KTJA@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Entericidin
	HCOCDN_00414	243365.CV_2779	7.34e-54	170.0	2ETDF@1|root,33KX8@2|Bacteria,1NJSQ@1224|Proteobacteria,2W5N4@28216|Betaproteobacteria,2KTKR@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00449	243365.CV_2100	4.02e-82	246.0	2EBCS@1|root,335DH@2|Bacteria,1NE4A@1224|Proteobacteria,2VXW5@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00493	305700.B447_04307	3.73e-238	664.0	28HIY@1|root,2Z7U8@2|Bacteria,1MY3K@1224|Proteobacteria,2VKE4@28216|Betaproteobacteria,2KXYA@206389|Rhodocyclales	206389|Rhodocyclales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00494	243365.CV_2409	4.37e-185	517.0	2EVXW@1|root,33PBI@2|Bacteria,1NTPU@1224|Proteobacteria,2W158@28216|Betaproteobacteria,2KSJ2@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00498	1192124.LIG30_4788	6.48e-191	557.0	2E4KT@1|root,32ZFS@2|Bacteria,1NFPM@1224|Proteobacteria,2VVYS@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00518	243365.CV_2212	4.07e-39	130.0	2FEB2@1|root,346AU@2|Bacteria,1P2IW@1224|Proteobacteria,2W4M9@28216|Betaproteobacteria,2KT8W@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00519	485918.Cpin_0125	3.5e-39	134.0	2E5BW@1|root,3303Y@2|Bacteria,4NSA8@976|Bacteroidetes,1ITYT@117747|Sphingobacteriia	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00549	243365.CV_2530	2.93e-71	221.0	28WC2@1|root,2ZICF@2|Bacteria,1P6N1@1224|Proteobacteria,2W6K8@28216|Betaproteobacteria,2KTGS@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00578	243365.CV_2285	8.93e-59	184.0	2BW3Q@1|root,33N4M@2|Bacteria,1NQ36@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00579	243365.CV_2286	1.98e-58	184.0	28V1N@1|root,2ZH55@2|Bacteria,1P6C5@1224|Proteobacteria,2W6H5@28216|Betaproteobacteria,2KTF3@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00581	243365.CV_2468	5,00E-62	192.0	2CGZ1@1|root,33X0U@2|Bacteria,1NWBC@1224|Proteobacteria,2W2MP@28216|Betaproteobacteria,2KT01@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00638	399739.Pmen_2021	3.99e-62	204.0	2DBB9@1|root,2Z86U@2|Bacteria,1RC32@1224|Proteobacteria,1TBIY@1236|Gammaproteobacteria,1YHTA@136841|Pseudomonas aeruginosa group	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00664	243365.CV_2302	1.66e-66	204.0	29744@1|root,2ZUCA@2|Bacteria,1P44X@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00717	243365.CV_2187	3.17e-58	183.0	2FEZR@1|root,346Y9@2|Bacteria,1P2Z7@1224|Proteobacteria,2W4BR@28216|Betaproteobacteria,2KTCW@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00755	243365.CV_1668	5.46e-96	282.0	2B556@1|root,31XYT@2|Bacteria,1RKDK@1224|Proteobacteria,2VTE0@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00769	243365.CV_2381	3.33e-43	142.0	2ADG1@1|root,31364@2|Bacteria,1PRVI@1224|Proteobacteria,2VYNX@28216|Betaproteobacteria,2KS61@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00776	243365.CV_2374	4.34e-85	251.0	2AR1G@1|root,32YZ2@2|Bacteria,1N9KF@1224|Proteobacteria,2VSF8@28216|Betaproteobacteria,2KRA8@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00793	243365.CV_2357	4.35e-80	244.0	2DHRX@1|root,300QB@2|Bacteria,1PRAU@1224|Proteobacteria,2W9UP@28216|Betaproteobacteria,2KTM5@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00819	945550.VISI1226_20984	7.63e-30	109.0	2EBEY@1|root,335FJ@2|Bacteria,1NCSK@1224|Proteobacteria,1SCKT@1236|Gammaproteobacteria,1Y31J@135623|Vibrionales	135623|Vibrionales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00824	243365.CV_2331	2.94e-23	89.0	28Y4Y@1|root,2ZK0C@2|Bacteria,1P63D@1224|Proteobacteria,2W66S@28216|Betaproteobacteria,2KTG8@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00844	399741.Spro_4933	7.88e-11	65.5	2DPIS@1|root,3329B@2|Bacteria,1NF9X@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DUF551
	HCOCDN_00846	420662.Mpe_B0134	3.19e-53	176.0	2FAN1@1|root,342VU@2|Bacteria,1NZEZ@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00847	202952.BBLI01000126_gene3985	5.72e-21	86.7	2DC2T@1|root,2ZCP8@2|Bacteria,1PAK0@1224|Proteobacteria,1TMZF@1236|Gammaproteobacteria,3NPR5@468|Moraxellaceae	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00854	279714.FuraDRAFT_2413	3.08e-48	160.0	2AI8P@1|root,318P9@2|Bacteria,1Q0PZ@1224|Proteobacteria,2W5JJ@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00859	1042209.HK44_020735	3.08e-24	115.0	28PW1@1|root,2ZCGG@2|Bacteria,1R4C8@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00877	279714.FuraDRAFT_2435	6.16e-51	169.0	28WF4@1|root,2ZIFB@2|Bacteria,1P9YX@1224|Proteobacteria,2W5M4@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00881	279714.FuraDRAFT_2438	2.08e-14	67.8	2C0WC@1|root,2ZEE6@2|Bacteria,1PACA@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00883	1150474.JQJI01000006_gene802	7.5e-12	67.8	2EGKZ@1|root,33AD6@2|Bacteria,2GEES@200918|Thermotogae	200918|Thermotogae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00884	279714.FuraDRAFT_2441	1.01e-75	233.0	2FG9E@1|root,3485S@2|Bacteria,1P398@1224|Proteobacteria,2W3WV@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00887	279714.FuraDRAFT_2445	2.14e-147	422.0	2DBD6@1|root,2Z8I5@2|Bacteria,1NVKP@1224|Proteobacteria,2W2QG@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00888	279714.FuraDRAFT_2446	1.45e-250	697.0	2E9CV@1|root,333KG@2|Bacteria,1NT11@1224|Proteobacteria,2W1DB@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00890	279714.FuraDRAFT_2448	0.0	1011.0	2EX2V@1|root,33QDY@2|Bacteria,1NQZX@1224|Proteobacteria,2W1B9@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00891	279714.FuraDRAFT_2449	9.89e-191	534.0	2EX69@1|root,33QH8@2|Bacteria,1NSKF@1224|Proteobacteria,2W1N4@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00892	279714.FuraDRAFT_2393	1.12e-29	107.0	2EVVT@1|root,33P9G@2|Bacteria,1NPN3@1224|Proteobacteria,2VZ0M@28216|Betaproteobacteria,2KTPU@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00899	243365.CV_2001	0.0	1433.0	COG3975@1|root,COG3975@2|Bacteria	2|Bacteria	-	-	spoIVB	-	3.4.21.116,3.4.24.3	ko:K01387,ko:K06399	-	-	-	-	ko00000,ko01000,ko01002,ko02042	-	-	-	Peptidase_M61,Peptidase_M9,Peptidase_M9_N
	HCOCDN_00943	243365.CV_2716	0.0	877.0	2AAP7@1|root,31015@2|Bacteria,1RDTH@1224|Proteobacteria,2VR2B@28216|Betaproteobacteria,2KR6K@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00965	243365.CV_2965	3.5e-42	139.0	2E8PT@1|root,3330W@2|Bacteria,1N796@1224|Proteobacteria,2VVUA@28216|Betaproteobacteria,2KRX4@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00999	279714.FuraDRAFT_1813	2.47e-27	100.0	2E8ZB@1|root,3338V@2|Bacteria,1NDJD@1224|Proteobacteria,2VWQQ@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01111	1247024.JRLH01000006_gene2740	1.09e-87	273.0	2EJ7Z@1|root,33CZ5@2|Bacteria,1QSVR@1224|Proteobacteria,1SS38@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01115	587753.EY04_27770	2.37e-12	66.6	2C9BG@1|root,337VM@2|Bacteria,1NCTC@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01123	1268237.G114_14401	6.08e-68	213.0	2EGIP@1|root,33AAW@2|Bacteria,1NHG6@1224|Proteobacteria,1SGC7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EspB
	HCOCDN_01124	1268237.G114_14396	1.87e-63	196.0	2EMJM@1|root,33F85@2|Bacteria,1NKY5@1224|Proteobacteria,1SJ65@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LcrR
	HCOCDN_01127	1268237.G114_14371	2.56e-63	211.0	2EK6D@1|root,33DWS@2|Bacteria,1NHUP@1224|Proteobacteria,1SH4P@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	sseF	-	-	ko:K15350	ko05132,map05132	-	-	-	ko00000,ko00001	-	-	-	-
	HCOCDN_01140	1121004.ATVC01000036_gene2322	2.26e-214	598.0	COG2401@1|root,COG2401@2|Bacteria,1R423@1224|Proteobacteria,2VTGK@28216|Betaproteobacteria,2KSYZ@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01151	1286093.C266_13794	5.48e-33	119.0	2EJ69@1|root,33CXG@2|Bacteria,1NGZX@1224|Proteobacteria,2VXMX@28216|Betaproteobacteria,1KDWR@119060|Burkholderiaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01152	557598.LHK_01151	2.14e-63	196.0	2DBW5@1|root,32TY9@2|Bacteria,1NB51@1224|Proteobacteria,2VT9R@28216|Betaproteobacteria,2KRIT@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01159	1286093.C266_13754	6.04e-47	155.0	2CDSP@1|root,32RYD@2|Bacteria,1N213@1224|Proteobacteria,2VUV3@28216|Betaproteobacteria,1KDRU@119060|Burkholderiaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01169	243365.CV_2145	1.89e-68	214.0	2EEI0@1|root,338BV@2|Bacteria,1NDSU@1224|Proteobacteria,2WBB1@28216|Betaproteobacteria,2KS8J@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01170	243365.CV_2146	8.23e-37	125.0	2DQ8N@1|root,335AJ@2|Bacteria,1NDHY@1224|Proteobacteria,2VWXG@28216|Betaproteobacteria,2KU1X@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01179	243365.CV_2160	2.23e-18	81.6	2CK9D@1|root,2ZX6Y@2|Bacteria,1P8WZ@1224|Proteobacteria,2W6FJ@28216|Betaproteobacteria,2KTER@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01180	243365.CV_2158	8.61e-26	99.0	2EFDQ@1|root,3396J@2|Bacteria,1N5ZY@1224|Proteobacteria,2W390@28216|Betaproteobacteria,2KT64@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01181	748280.NH8B_1647	1.01e-35	124.0	2DQ22@1|root,334F4@2|Bacteria,1N92E@1224|Proteobacteria,2VWQH@28216|Betaproteobacteria,2KTCF@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01230	243365.CV_1784	1.45e-75	234.0	2AVH6@1|root,31M9J@2|Bacteria,1RHYF@1224|Proteobacteria,2VTDP@28216|Betaproteobacteria,2KTD8@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01267	1219049.SP5_018_01200	8.76e-52	168.0	2DNW1@1|root,32ZFG@2|Bacteria,1RIVP@1224|Proteobacteria,2UX3M@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01270	243365.CV_1729	5.55e-64	199.0	2APJ5@1|root,31EN8@2|Bacteria,1RIPC@1224|Proteobacteria,2VT2M@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01276	1524467.IV04_19245	6.32e-113	344.0	28PF9@1|root,2ZC6H@2|Bacteria,1RB2X@1224|Proteobacteria,1SV6X@1236|Gammaproteobacteria,40508@613|Serratia	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01287	243365.CV_1711	5.81e-159	455.0	2E1SC@1|root,32X29@2|Bacteria,1N4V3@1224|Proteobacteria,2VV98@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01312	243365.CV_1686	1.7e-101	295.0	2E6BZ@1|root,330ZS@2|Bacteria,1N89M@1224|Proteobacteria,2VVU1@28216|Betaproteobacteria,2KTDN@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01313	243365.CV_1685	9.13e-95	279.0	2E6BZ@1|root,330ZS@2|Bacteria,1N89M@1224|Proteobacteria,2VVU1@28216|Betaproteobacteria,2KTDN@206351|Neisseriales	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01331	243365.CV_1433	3.82e-68	230.0	2EE8E@1|root,3382W@2|Bacteria,1NKE3@1224|Proteobacteria,2VZZC@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01332	243365.CV_3266	4.14e-120	352.0	COG5514@1|root,COG5514@2|Bacteria,1QEPI@1224|Proteobacteria,2WBPE@28216|Betaproteobacteria,2KT0Y@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01346	583345.Mmol_2055	9.67e-22	86.3	2BTU1@1|root,32P1Q@2|Bacteria,1Q41J@1224|Proteobacteria,2VXRS@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01374	243365.CV_3310	5.47e-49	157.0	2ED75@1|root,3373R@2|Bacteria,1NCQ3@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01451	243365.CV_3391	2.15e-78	242.0	2EQF3@1|root,33I12@2|Bacteria,1NXWZ@1224|Proteobacteria,2W393@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01512	1236542.BALM01000010_gene3770	3.31e-27	119.0	2E2YJ@1|root,32XZA@2|Bacteria,1N30N@1224|Proteobacteria,1SA9I@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01519	667632.KB890174_gene4196	2.48e-65	208.0	2A6WM@1|root,30VRG@2|Bacteria,1QAFH@1224|Proteobacteria,2WDCP@28216|Betaproteobacteria,1KA0W@119060|Burkholderiaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01524	243365.CV_2126	7.47e-22	90.5	298G7@1|root,2ZVMB@2|Bacteria,1P58V@1224|Proteobacteria,2W52J@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01536	243365.CV_3469	3.05e-29	107.0	28VIR@1|root,2ZHM5@2|Bacteria,1PABQ@1224|Proteobacteria,2W60D@28216|Betaproteobacteria,2KTMK@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01574	243365.CV_3517	2.1e-87	260.0	2EQFU@1|root,33I1U@2|Bacteria,1NKRN@1224|Proteobacteria,2VYA3@28216|Betaproteobacteria,2KS6F@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01579	243365.CV_3521	6.72e-55	175.0	2DQAC@1|root,335KR@2|Bacteria,1NCXD@1224|Proteobacteria,2VWTR@28216|Betaproteobacteria,2KRWQ@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01609	243365.CV_1291	9.14e-78	239.0	2EM7S@1|root,33EWW@2|Bacteria,1NM2K@1224|Proteobacteria,2VYUH@28216|Betaproteobacteria,2KT2R@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01615	243365.CV_1281	2.19e-217	604.0	28JEX@1|root,2Z98Z@2|Bacteria,1R5IF@1224|Proteobacteria,2VNVG@28216|Betaproteobacteria,2KQ5M@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01648	243365.CV_1208	1.08e-112	327.0	2DM5C@1|root,31SFK@2|Bacteria,1RHYU@1224|Proteobacteria,2VRHQ@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01649	243365.CV_1207	2.6e-33	115.0	28SUH@1|root,2ZF46@2|Bacteria,1P6GS@1224|Proteobacteria,2W61M@28216|Betaproteobacteria,2KTPJ@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01657	243365.CV_3610	1.12e-57	182.0	2BWYA@1|root,32WXT@2|Bacteria,1N26T@1224|Proteobacteria,2VXGX@28216|Betaproteobacteria,2KTVQ@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01669	243365.CV_3623	8.63e-140	396.0	2C388@1|root,30ZIR@2|Bacteria,1RFG7@1224|Proteobacteria,2VXVZ@28216|Betaproteobacteria,2KSFS@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01678	243365.CV_3632	2.26e-56	177.0	2DE4X@1|root,32U2M@2|Bacteria,1N3CG@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01687	243365.CV_3641	1.61e-35	123.0	28WUG@1|root,2ZITX@2|Bacteria,1P7A0@1224|Proteobacteria,2W6CM@28216|Betaproteobacteria,2KTNV@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01702	279714.FuraDRAFT_3139	6.23e-75	230.0	2CDCV@1|root,308Y1@2|Bacteria,1N74F@1224|Proteobacteria,2VSMP@28216|Betaproteobacteria,2KT77@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01718	243365.CV_3662	1.88e-81	243.0	2EM86@1|root,33EXA@2|Bacteria,1NH1C@1224|Proteobacteria,2VYUA@28216|Betaproteobacteria,2KSAR@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
